id,title,longitude,latitude,datetaken,dateupload,tags,url_s,license,ownername
4166915678,Battlefield of Fredericksburg,-77.457904,38.309504,1863-01-01 00:00:00,1260207762,civilwar mathewbrady usnationalarchives nara:arcid=524756,https://live.staticflickr.com/4039/4166915678_a4b2145361_m.jpg,7,U.S. National Archives
4166912664,"Works in front of Petersburg, Va. Fort Stedman",-77.363319,37.223220,1863-01-01 00:00:00,1260207688,civilwar mathewbrady usnationalarchives nara:arcid=524754,https://live.staticflickr.com/2637/4166912664_936a012019_m.jpg,7,U.S. National Archives
4166911178,"Inside Confederate lines, Petersburg, Va",-77.363319,37.223220,1863-01-01 00:00:00,1260207649,civilwar mathewbrady usnationalarchives nara:arcid=524752,https://live.staticflickr.com/4038/4166911178_7218030475_m.jpg,7,U.S. National Archives
4166907862,"Burying Confederate dead, Fredericksburg, Va",-77.457475,38.301893,1863-01-01 00:00:00,1260207569,civilwar mathewbrady usnationalarchives nara:arcid=524749,https://live.staticflickr.com/2672/4166907862_a05b8cc05e_m.jpg,7,U.S. National Archives
4166891508,"Part of the works of Fort Brady, Petersburg Lines, Va",-77.367610,37.220828,1863-01-01 00:00:00,1260207176,civilwar mathewbrady usnationalarchives nara:arcid=524739,https://live.staticflickr.com/2794/4166891508_f1eb97a198_m.jpg,7,U.S. National Archives
4166130887,"Monitor in front of Aiken's Landing, James River, Virginia",-77.395248,37.426888,1863-01-01 00:00:00,1260207146,civilwar mathewbrady usnationalarchives nara:arcid=524740,https://live.staticflickr.com/2541/4166130887_6bdcf06808_m.jpg,7,U.S. National Archives
4166128679,"Headquarters, Giesboro, D.C.",-77.016777,38.844459,1863-01-01 00:00:00,1260207094,civilwar mathewbrady usnationalarchives nara:arcid=524737,https://live.staticflickr.com/2778/4166128679_2446f9cd28_m.jpg,7,U.S. National Archives
4166887320,"Transports at landing, White House, Va. Railroad wharf under construction.",-77.021713,37.565262,1863-01-01 00:00:00,1260207073,civilwar mathewbrady usnationalarchives nara:arcid=524736,https://live.staticflickr.com/2590/4166887320_6622105b02_m.jpg,7,U.S. National Archives
4166885016,"Monitor ""Casco"" on the James River",-77.360572,37.367292,1863-01-01 00:00:00,1260207017,civilwar mathewbrady usnationalarchives nara:arcid=524734,https://live.staticflickr.com/2632/4166885016_4345361c1d_m.jpg,7,U.S. National Archives
4166119977,"Some graves at Warren Station, Petersburg Lines, Va",-77.370872,37.222947,1863-01-01 00:00:00,1260206884,civilwar mathewbrady usnationalarchives nara:arcid=524729,https://live.staticflickr.com/2737/4166119977_254e13c1a8_m.jpg,7,U.S. National Archives
4166115207,"Part of Fort Brady, Petersburg Lines, Va",-77.427177,37.515308,1863-01-01 00:00:00,1260206766,civilwar mathewbrady usnationalarchives nara:arcid=524728,https://live.staticflickr.com/2604/4166115207_2af71d2d83_m.jpg,7,U.S. National Archives
4166864616,"Crew on monitor ""Saugus"", James River",-77.370872,37.360197,1863-01-01 00:00:00,1260206525,usnationalarchives mathewbrady civilwar nara:arcid=524715 unitedstatesnavy usnavy usn ship warship monitor usssaugus1863 usssaugus canonicusclass americancivilwar warbetweenthestates unitedstatescivilwar,https://live.staticflickr.com/2721/4166864616_687de74f5b_m.jpg,7,U.S. National Archives
4166098589,Bridge across the Cumberland at Chattanooga,-85.339050,35.071031,1863-01-01 00:00:00,1260206380,civilwar mathewbrady usnationalarchives nara:arcid=524709,https://live.staticflickr.com/4003/4166098589_0a3f2992bf_m.jpg,7,U.S. National Archives
4166067037,"Headquarters of company ""F"", 11th R.I. Infantry, Miners Hill, Va.",-77.157797,38.902188,1863-01-01 00:00:00,1260205646,civilwar mathewbrady usnationalarchives nara:arcid=524686,https://live.staticflickr.com/2717/4166067037_d1507b71c3_m.jpg,7,U.S. National Archives
4166815062,"Commissary headquarters, Rocky Face Ridge, Ga",-85.004997,34.764884,1863-01-01 00:00:00,1260205405,civilwar mathewbrady usnationalarchives nara:arcid=524679,https://live.staticflickr.com/2740/4166815062_e089b5d216_m.jpg,7,U.S. National Archives
4166787336,"Headquarters at Wilford House, Brandy Station, Va",-77.892402,38.502189,1863-01-01 00:00:00,1260204783,civilwar mathewbrady usnationalarchives nara:arcid=524652,https://live.staticflickr.com/2500/4166787336_3eb960002e_m.jpg,7,U.S. National Archives
4166024155,Pontoon bridge on James River,-77.310104,37.370975,1863-01-01 00:00:00,1260204687,bridge engineering civilwar pontoon jamesriver mathewbrady usnationalarchives nara:arcid=524647,https://live.staticflickr.com/2767/4166024155_e59c1e6e3b_m.jpg,7,U.S. National Archives
4166021279,"Landing on James River, Virginia, in 1865",-77.310104,37.370975,1863-01-01 00:00:00,1260204623,water river ships civilwar jamesriver mathewbrady usnationalarchives nara:arcid=524644,https://live.staticflickr.com/2628/4166021279_575ab07e9b_m.jpg,7,U.S. National Archives
4166105786,"Passage grave ""Ragnvald's grave"", Karleby, Västergötland, Sweden",13.637831,58.153573,1872-01-01 00:00:00,1260184954,riksantikvarieämbetet theswedishnationalheritageboard,https://live.staticflickr.com/2489/4166105786_7e57a1b848_m.jpg,7,Swedish National Heritage Board
